lr_step,epoch,step,val/loss,val/acc,val/acc_best,val/loss_best,train/loss,train/acc,lr_epoch,train/acc_best,train/loss_best
0.0010000000474974513,0,49,,,,,,,,,
0.0010000000474974513,0,99,,,,,,,,,
0.0010000000474974513,0,149,,,,,,,,,
,0,186,0.28402554988861084,0.920199990272522,0.920199990272522,0.28402554988861084,,,,,
0.0010000000474974513,0,199,,,,,,,,,
0.0010000000474974513,0,249,,,,,,,,,
0.0010000000474974513,0,299,,,,,,,,,
0.0010000000474974513,0,349,,,,,,,,,
,0,373,0.25912922620773315,0.9301999807357788,0.9301999807357788,0.25912922620773315,,,,,
0.0010000000474974513,0,399,,,,,,,,,
0.0010000000474974513,0,449,,,,,,,,,
0.0010000000474974513,0,499,,,,,,,,,
0.0010000000474974513,0,549,,,,,,,,,
,0,560,0.2683057188987732,0.9261000156402588,0.9301999807357788,0.25912922620773315,,,,,
0.0010000000474974513,0,599,,,,,,,,,
0.0010000000474974513,0,649,,,,,,,,,
0.0010000000474974513,0,699,,,,,,,,,
,0,747,0.24300314486026764,0.9358999729156494,0.9358999729156494,0.24300314486026764,,,,,
0.0010000000474974513,0,749,,,,,,,,,
0.0010000000474974513,0,799,,,,,,,,,
0.0010000000474974513,0,849,,,,,,,,,
0.0010000000474974513,0,899,,,,,,,,,
,0,934,0.24083539843559265,0.934499979019165,0.9358999729156494,0.24083539843559265,,,,,
,0,937,,,,,0.28392916917800903,0.9221833348274231,0.0009999909671023488,0.9221833348274231,0.28392916917800903
0.0010000000474974513,1,949,,,,,,,,,
0.0010000000474974513,1,999,,,,,,,,,
0.0010000000474974513,1,1049,,,,,,,,,
0.0010000000474974513,1,1099,,,,,,,,,
,1,1124,0.22761423885822296,0.9402999877929688,0.9402999877929688,0.22761423885822296,,,,,
0.0010000000474974513,1,1149,,,,,,,,,
0.0010000000474974513,1,1199,,,,,,,,,
0.0010000000474974513,1,1249,,,,,,,,,
0.0010000000474974513,1,1299,,,,,,,,,
,1,1311,0.23450088500976562,0.9409000277519226,0.9409000277519226,0.22761423885822296,,,,,
0.0010000000474974513,1,1349,,,,,,,,,
0.0010000000474974513,1,1399,,,,,,,,,
0.0010000000474974513,1,1449,,,,,,,,,
,1,1498,0.24186094105243683,0.9379000067710876,0.9409000277519226,0.22761423885822296,,,,,
0.0010000000474974513,1,1499,,,,,,,,,
0.0010000000474974513,1,1549,,,,,,,,,
0.0010000000474974513,1,1599,,,,,,,,,
0.0010000000474974513,1,1649,,,,,,,,,
,1,1685,0.22009316086769104,0.9420999884605408,0.9420999884605408,0.22009316086769104,,,,,
0.0010000000474974513,1,1699,,,,,,,,,
0.0010000000474974513,1,1749,,,,,,,,,
0.0010000000474974513,1,1799,,,,,,,,,
0.0010000000474974513,1,1849,,,,,,,,,
,1,1872,0.23061272501945496,0.9406999945640564,0.9420999884605408,0.22009316086769104,,,,,
,1,1875,,,,,0.1830243468284607,0.9515500068664551,0.0009999909671023488,0.9515500068664551,0.1830243468284607
0.0010000000474974513,2,1899,,,,,,,,,
0.0010000000474974513,2,1949,,,,,,,,,
0.0010000000474974513,2,1999,,,,,,,,,
0.0010000000474974513,2,2049,,,,,,,,,
,2,2062,0.22235432267189026,0.9452000260353088,0.9452000260353088,0.22009316086769104,,,,,
0.0010000000474974513,2,2099,,,,,,,,,
0.0010000000474974513,2,2149,,,,,,,,,
0.0010000000474974513,2,2199,,,,,,,,,
0.0010000000474974513,2,2249,,,,,,,,,
,2,2249,0.2271084487438202,0.9427000284194946,0.9452000260353088,0.22009316086769104,,,,,
0.0010000000474974513,2,2299,,,,,,,,,
0.0010000000474974513,2,2349,,,,,,,,,
0.0010000000474974513,2,2399,,,,,,,,,
,2,2436,0.22874121367931366,0.942799985408783,0.9452000260353088,0.22009316086769104,,,,,
0.0010000000474974513,2,2449,,,,,,,,,
0.0010000000474974513,2,2499,,,,,,,,,
0.0010000000474974513,2,2549,,,,,,,,,
0.0010000000474974513,2,2599,,,,,,,,,
,2,2623,0.22320935130119324,0.9458000063896179,0.9458000063896179,0.22009316086769104,,,,,
0.0010000000474974513,2,2649,,,,,,,,,
0.0010000000474974513,2,2699,,,,,,,,,
0.0010000000474974513,2,2749,,,,,,,,,
0.0010000000474974513,2,2799,,,,,,,,,
,2,2810,0.2186826914548874,0.9445000290870667,0.9458000063896179,0.2186826914548874,,,,,
,2,2813,,,,,0.14841191470623016,0.9607499837875366,0.0009999909671023488,0.9607499837875366,0.14841191470623016
