val/loss,val/acc,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,lr_epoch,train/acc_best,train/loss_best
0.9034236669540405,0.4099999964237213,0.4099999964237213,0.9034236669540405,0,0,,,,,
0.8870176076889038,0.5,0.5,0.8870176076889038,0,1,,,,,
0.8739827871322632,0.5699999928474426,0.5699999928474426,0.8739827871322632,0,2,,,,,
0.8699944019317627,0.6100000143051147,0.6100000143051147,0.8699944019317627,0,3,,,,,
0.8674335479736328,0.6100000143051147,0.6100000143051147,0.8674335479736328,0,4,,,,,
0.8651763200759888,0.6200000047683716,0.6200000047683716,0.8651763200759888,0,5,,,,,
0.8632679581642151,0.6399999856948853,0.6399999856948853,0.8632679581642151,0,6,,,,,
0.8636521697044373,0.9300000071525574,0.9300000071525574,0.8632679581642151,0,7,,,,,
,,,,0,7,0.8595021963119507,0.581250011920929,0.009999999776482582,0.581250011920929,0.8595021963119507
0.8651833534240723,0.949999988079071,0.949999988079071,0.8632679581642151,1,8,,,,,
0.8683431148529053,0.9300000071525574,0.949999988079071,0.8632679581642151,1,9,,,,,
0.8706007599830627,0.9100000262260437,0.949999988079071,0.8632679581642151,1,10,,,,,
0.8715250492095947,0.9100000262260437,0.949999988079071,0.8632679581642151,1,11,,,,,
0.872875988483429,0.9100000262260437,0.949999988079071,0.8632679581642151,1,12,,,,,
0.8537610769271851,0.8899999856948853,0.949999988079071,0.8537610769271851,1,13,,,,,
0.8368992805480957,0.8799999952316284,0.949999988079071,0.8368992805480957,1,14,,,,,
