val/loss,val/acc,val/acc_best,val/loss_best,epoch,step,lr_step
0.6591257452964783,0.7825000286102295,0.7825000286102295,0.6591257452964783,0,45,
,,,,0,49,0.0010000000474974513
0.5640270709991455,0.8027999997138977,0.8027999997138977,0.5640270709991455,0,91,
,,,,0,99,0.0010000000474974513
0.5821797847747803,0.7940000295639038,0.8027999997138977,0.5640270709991455,0,137,
,,,,0,149,0.0010000000474974513
0.5879204869270325,0.8036999702453613,0.8036999702453613,0.5640270709991455,0,183,
,,,,0,199,0.0010000000474974513
0.5423257946968079,0.8190000057220459,0.8190000057220459,0.5423257946968079,0,229,
,,,,0,249,0.0010000000474974513
0.5364152193069458,0.8238000273704529,0.8238000273704529,0.5364152193069458,0,275,
,,,,0,299,0.0010000000474974513
0.5537353157997131,0.823199987411499,0.8238000273704529,0.5364152193069458,0,321,
,,,,0,349,0.0010000000474974513
0.552222490310669,0.8149999976158142,0.8238000273704529,0.5364152193069458,0,367,
,,,,0,399,0.0010000000474974513
0.5162731409072876,0.8299999833106995,0.8299999833106995,0.5162731409072876,0,413,
